,Age Groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over
  Americas,    1916 to 1920,725,0,0,0,0,725
  Americas,    1921 to 1925,1170,0,0,0,0,1170
  Americas,    1926 to 1930,3555,0,0,0,0,3555
  Americas,    1931 to 1935,3220,0,0,0,0,3220
  Americas,    1936 to 1940,2000,0,0,0,0,2000
  Americas,    1941 to 1945,2075,0,0,0,295,1780
  Americas,    1946 to 1950,5195,0,0,0,1480,3715
  Americas,    1951 to 1955,9700,0,0,1410,2460,5835
  Americas,    1956 to 1960,15140,0,0,4790,2445,7900
  Americas,    1961 to 1965,25245,0,0,9220,5490,10530
  Americas,    1966 to 1970,75165,0,0,24655,29905,20605
  Americas,    1970 to 1975,122055,0,0,61195,42455,18405
  Americas,    1976 to 1980,87610,0,0,58620,18325,10665
  Americas,    1981 to 1985,75700,0,3650,54560,9735,7755
  Americas,    1986 to 1990,128070,0,19695,87850,11590,8935
  Americas,    1991 to 1995,131660,5480,27425,82480,8780,7485
  Americas,    1996 to 2000,99550,18560,18915,53770,5060,3240
  Americas,    2001 to 2006,157915,43010,23190,82340,5850,3525
  Americas,  Non-permanent residents,61170,12365,10930,33250,2795,1835
    North America,Total - Immigrant Status and Period of Immigration,295695,42030,26270,132085,45570,49740
    North America,  Non-immigrants,20050,5955,3180,8515,920,1480
    North America,  Immigrants,248655,28980,19005,110790,42905,46985
    North America,    Before 1915,380,0,0,0,0,380
    North America,    1916 to 1920,710,0,0,0,0,710
    North America,    1921 to 1925,1150,0,0,0,0,1150
    North America,    1926 to 1930,3485,0,0,0,0,3485
    North America,    1931 to 1935,3140,0,0,0,0,3140
    North America,    1936 to 1940,1840,0,0,0,0,1840
    North America,    1941 to 1945,1725,0,0,0,230,1495
    North America,    1946 to 1950,4145,0,0,0,1250,2890
    North America,    1951 to 1955,6070,0,0,1065,1425,3580
    North America,    1956 to 1960,8615,0,0,3115,1285,4215
    North America,    1961 to 1965,12810,0,0,6035,2360,4410
    North America,    1966 to 1970,29650,0,0,11365,11705,6585
    North America,    1970 to 1975,36650,0,0,19235,12280,5135
    North America,    1976 to 1980,21435,0,0,14635,4360,2435
    North America,    1981 to 1985,16545,0,1320,11440,2270,1520
    North America,    1986 to 1990,19010,0,5155,10675,1885,1300
    North America,    1991 to 1995,18650,2035,5010,9445,1175,990
    North America,    1996 to 2000,24040,9025,3850,9275,1125,770
    North America,    2001 to 2006,38600,17920,3670,14510,1555,950
    North America,  Non-permanent residents,26990,7100,4090,12780,1740,1280
      Greenland,Total - Immigrant Status and Period of Immigration,50,0,10,35,0,0
      Greenland,  Non-immigrants,10,0,10,0,0,0
      Greenland,  Immigrants,40,0,0,35,0,0
      Greenland,    Before 1915,0,0,0,0,0,0
      Greenland,    1916 to 1920,0,0,0,0,0,0
      Greenland,    1921 to 1925,0,0,0,0,0,0
      Greenland,    1926 to 1930,0,0,0,0,0,0
      Greenland,    1931 to 1935,0,0,0,0,0,0
      Greenland,    1936 to 1940,0,0,0,0,0,0
      Greenland,    1941 to 1945,0,0,0,0,0,0
      Greenland,    1946 to 1950,0,0,0,0,0,0
      Greenland,    1951 to 1955,0,0,0,0,0,0
      Greenland,    1956 to 1960,0,0,0,0,0,0
      Greenland,    1961 to 1965,0,0,0,0,0,0
      Greenland,    1966 to 1970,0,0,0,0,0,0
      Greenland,    1970 to 1975,0,0,0,0,0,0
      Greenland,    1976 to 1980,0,0,0,0,0,0
      Greenland,    1981 to 1985,0,0,0,0,0,0
      Greenland,    1986 to 1990,20,0,0,20,0,0
      Greenland,    1991 to 1995,0,0,0,0,0,0
      Greenland,    1996 to 2000,0,0,0,0,0,0
      Greenland,    2001 to 2006,10,0,0,10,0,0
      Greenland,  Non-permanent residents,10,0,10,0,0,0
      Saint Pierre and Miquelon,Total - Immigrant Status and Period of Immigration,375,10,20,105,100,150
      Saint Pierre and Miquelon,  Non-immigrants,0,0,0,0,0,0
      Saint Pierre and Miquelon,  Immigrants,375,10,20,105,100,150
      Saint Pierre and Miquelon,    Before 1915,0,0,0,0,0,0
      Saint Pierre and Miquelon,    1916 to 1920,0,0,0,0,0,0
      Saint Pierre and Miquelon,    1921 to 1925,0,0,0,0,0,0
      Saint Pierre and Miquelon,    1926 to 1930,10,0,0,0,0,10
      Saint Pierre and Miquelon,    1931 to 1935,10,0,0,0,0,10
      Saint Pierre and Miquelon,    1936 to 1940,0,0,0,0,0,0
      Saint Pierre and Miquelon,    1941 to 1945,10,0,0,0,10,0
      Saint Pierre and Miquelon,    1946 to 1950,20,0,0,0,0,20
      Saint Pierre and Miquelon,    1951 to 1955,10,0,0,0,0,10
      Saint Pierre and Miquelon,    1956 to 1960,45,0,0,0,0,40
      Saint Pierre and Miquelon,    1961 to 1965,60,0,0,10,35,20
      Saint Pierre and Miquelon,    1966 to 1970,20,0,0,10,10,0
      Saint Pierre and Miquelon,    1970 to 1975,60,0,0,35,10,25
      Saint Pierre and Miquelon,    1976 to 1980,45,0,0,25,0,15
      Saint Pierre and Miquelon,    1981 to 1985,40,0,10,10,10,0
      Saint Pierre and Miquelon,    1986 to 1990,10,0,0,10,0,0
      Saint Pierre and Miquelon,    1991 to 1995,10,0,0,0,10,0
      Saint Pierre and Miquelon,    1996 to 2000,10,10,0,0,10,0
      Saint Pierre and Miquelon,    2001 to 2006,15,0,0,15,0,0
      Saint Pierre and Miquelon,  Non-permanent residents,0,0,0,0,0,0
      United States of America,Total - Immigrant Status and Period of Immigration,295275,42030,26240,131945,45465,49585
      United States of America,  Non-immigrants,20045,5955,3170,8515,920,1480
      United States of America,  Immigrants,248240,28975,18985,110650,42805,46830
      United States of America,    Before 1915,380,0,0,0,0,380
      United States of America,    1916 to 1920,710,0,0,0,0,710
      United States of America,    1921 to 1925,1145,0,0,0,0,1145
      United States of America,    1926 to 1930,3480,0,0,0,0,3480
      United States of America,    1931 to 1935,3130,0,0,0,0,3130
      United States of America,    1936 to 1940,1840,0,0,0,0,1840
      United States of America,    1941 to 1945,1720,0,0,0,220,1495
      United States of America,    1946 to 1950,4120,0,0,0,1250,2870
      United States of America,    1951 to 1955,6060,0,0,1065,1420,3575
      United States of America,    1956 to 1960,8565,0,0,3115,1280,4175
      United States of America,    1961 to 1965,12750,0,0,6030,2330,4390
      United States of America,    1966 to 1970,29635,0,0,11350,11690,6585
      United States of America,    1970 to 1975,36585,0,0,19195,12275,5115
      United States of America,    1976 to 1980,21390,0,0,14615,4355,2420
      United States of America,    1981 to 1985,16505,0,1310,11430,2255,1510
      United States of America,    1986 to 1990,18980,0,5145,10650,1885,1300
      United States of America,    1991 to 1995,18635,2035,5010,9440,1165,990
      United States of America,    1996 to 2000,24035,9025,3850,9275,1120,770
      United States of America,    2001 to 2006,38580,17920,3670,14490,1555,950
      United States of America,  Non-permanent residents,26990,7100,4090,12780,1740,1280
    Central America,Total - Immigrant Status and Period of Immigration,144305,12795,23590,90440,10830,6650
    Central America,  Non-immigrants,2405,730,520,935,175,50
    Central America,  Immigrants,130065,9755,20575,82725,10525,6485
    Central America,    Before 1915,0,0,0,0,0,0
    Central America,    1916 to 1920,0,0,0,0,0,0
    Central America,    1921 to 1925,0,0,0,0,0,0
    Central America,    1926 to 1930,15,0,0,0,0,15
    Central America,    1931 to 1935,20,0,0,0,0,20
    Central America,    1936 to 1940,35,0,0,0,0,35
    Central America,    1941 to 1945,60,0,0,0,15,45
    Central America,    1946 to 1950,125,0,0,0,50,70
    Central America,    1951 to 1955,720,0,0,75,335,305
    Central America,    1956 to 1960,670,0,0,225,140,305
    Central America,    1961 to 1965,800,0,0,410,200,190
    Central America,    1966 to 1970,1950,0,0,950,580,425
    Central America,    1970 to 1975,3785,0,0,2195,1140,445
    Central America,    1976 to 1980,5085,0,0,3695,900,490
    Central America,    1981 to 1985,14240,0,1035,10900,1450,855
    Central America,    1986 to 1990,34355,0,6055,23680,3025,1595
    Central America,    1991 to 1995,29365,1355,7210,18170,1660,975
    Central America,    1996 to 2000,15630,2700,2900,9065,605,360
    Central America,    2001 to 2006,23205,5705,3375,13350,435,345
    Central America,  Non-permanent residents,11835,2310,2500,6785,130,110
      Costa Rica,Total - Immigrant Status and Period of Immigration,3770,560,915,2025,130,140
      Costa Rica,  Non-immigrants,155,100,20,30,0,0
      Costa Rica,  Immigrants,2865,260,740,1620,120,120
      Costa Rica,    Before 1915,0,0,0,0,0,0
      Costa Rica,    1916 to 1920,0,0,0,0,0,0
      Costa Rica,    1921 to 1925,0,0,0,0,0,0
      Costa Rica,    1926 to 1930,0,0,0,0,0,0
      Costa Rica,    1931 to 1935,0,0,0,0,0,0
      Costa Rica,    1936 to 1940,0,0,0,0,0,0
      Costa Rica,    1941 to 1945,0,0,0,0,0,0
      Costa Rica,    1946 to 1950,0,0,0,0,0,0
      Costa Rica,    1951 to 1955,0,0,0,0,0,0
      Costa Rica,    1956 to 1960,20,0,0,15,0,10
      Costa Rica,    1961 to 1965,10,0,0,0,0,10
      Costa Rica,    1966 to 1970,35,0,0,10,10,15
      Costa Rica,    1970 to 1975,60,0,0,35,10,10
      Costa Rica,    1976 to 1980,65,0,0,60,0,0
      Costa Rica,    1981 to 1985,305,0,105,170,20,15
      Costa Rica,    1986 to 1990,465,0,170,245,20,25
      Costa Rica,    1991 to 1995,595,15,235,310,10,25
      Costa Rica,    1996 to 2000,545,85,85,340,30,10
      Costa Rica,    2001 to 2006,780,160,145,435,15,15
      Costa Rica,  Non-permanent residents,755,195,155,370,10,15
      El Salvador,Total - Immigrant Status and Period of Immigration,43770,1310,6470,29910,3835,2245
      El Salvador,  Non-immigrants,30,15,0,15,0,0
      El Salvador,  Immigrants,42725,1215,6245,29195,3830,2235
      El Salvador,    Before 1915,0,0,0,0,0,0
      El Salvador,    1916 to 1920,0,0,0,0,0,0
      El Salvador,    1921 to 1925,0,0,0,0,0,0
      El Salvador,    1926 to 1930,0,0,0,0,0,0
      El Salvador,    1931 to 1935,0,0,0,0,0,0
      El Salvador,    1936 to 1940,0,0,0,0,0,0
      El Salvador,    1941 to 1945,10,0,0,0,0,10
      El Salvador,    1946 to 1950,0,0,0,0,0,0
      El Salvador,    1951 to 1955,15,0,0,0,10,10
      El Salvador,    1956 to 1960,0,0,0,0,0,0
      El Salvador,    1961 to 1965,10,0,0,10,0,0
      El Salvador,    1966 to 1970,110,0,0,30,50,35
      El Salvador,    1970 to 1975,515,0,0,260,205,55
      El Salvador,    1976 to 1980,880,0,0,560,190,135
      El Salvador,    1981 to 1985,7500,0,285,5945,795,470
      El Salvador,    1986 to 1990,16100,0,2090,11555,1670,785
      El Salvador,    1991 to 1995,11905,170,2770,7745,695,525
      El Salvador,    1996 to 2000,2810,475,490,1595,165,85
      El Salvador,    2001 to 2006,2870,580,610,1500,70,120
      El Salvador,  Non-permanent residents,1010,80,220,700,10,0
      Guatemala,Total - Immigrant Status and Period of Immigration,16150,1335,2495,10035,1440,845
      Guatemala,  Non-immigrants,105,20,35,45,0,0
      Guatemala,  Immigrants,15650,1255,2390,9725,1440,835
      Guatemala,    Before 1915,0,0,0,0,0,0
      Guatemala,    1916 to 1920,0,0,0,0,0,0
      Guatemala,    1921 to 1925,0,0,0,0,0,0
      Guatemala,    1926 to 1930,0,0,0,0,0,0
      Guatemala,    1931 to 1935,0,0,0,0,0,0
      Guatemala,    1936 to 1940,0,0,0,0,0,0
      Guatemala,    1941 to 1945,0,0,0,0,0,0
      Guatemala,    1946 to 1950,10,0,0,0,10,0
      Guatemala,    1951 to 1955,0,0,0,0,0,0
      Guatemala,    1956 to 1960,15,0,0,0,0,10
      Guatemala,    1961 to 1965,30,0,0,0,20,0
      Guatemala,    1966 to 1970,70,0,0,35,25,10
      Guatemala,    1970 to 1975,745,0,0,390,275,75
      Guatemala,    1976 to 1980,520,0,0,360,85,75
      Guatemala,    1981 to 1985,2320,0,175,1710,260,170
      Guatemala,    1986 to 1990,4290,0,685,2940,385,275
      Guatemala,    1991 to 1995,4690,480,1005,2790,265,155
      Guatemala,    1996 to 2000,1700,455,295,870,55,25
      Guatemala,    2001 to 2006,1255,325,235,610,60,25
      Guatemala,  Non-permanent residents,395,60,65,265,0,10
      Honduras,Total - Immigrant Status and Period of Immigration,5380,325,1295,3195,360,215
      Honduras,  Non-immigrants,30,0,10,20,0,0
      Honduras,  Immigrants,5160,320,1245,3025,355,215
      Honduras,    Before 1915,0,0,0,0,0,0
      Honduras,    1916 to 1920,0,0,0,0,0,0
      Honduras,    1921 to 1925,0,0,0,0,0,0
      Honduras,    1926 to 1930,0,0,0,0,0,0
      Honduras,    1931 to 1935,0,0,0,0,0,0
      Honduras,    1936 to 1940,0,0,0,0,0,0
      Honduras,    1941 to 1945,0,0,0,0,0,0
      Honduras,    1946 to 1950,0,0,0,0,0,0
      Honduras,    1951 to 1955,10,0,0,0,10,0
      Honduras,    1956 to 1960,0,0,0,0,0,0
      Honduras,    1961 to 1965,10,0,0,0,0,10
      Honduras,    1966 to 1970,25,0,0,0,15,0
      Honduras,    1970 to 1975,125,0,0,85,25,10
      Honduras,    1976 to 1980,160,0,0,130,25,0
      Honduras,    1981 to 1985,305,0,40,225,35,10
      Honduras,    1986 to 1990,1175,0,295,730,75,75
      Honduras,    1991 to 1995,1765,70,475,1080,105,35
      Honduras,    1996 to 2000,940,140,245,435,45,65
      Honduras,    2001 to 2006,660,105,190,345,15,10
      Honduras,  Non-permanent residents,195,10,35,150,10,0
      Mexico,Total - Immigrant Status and Period of Immigration,60795,8715,9975,35770,3865,2465
      Mexico,  Non-immigrants,1910,535,430,740,165,45
      Mexico,  Immigrants,49745,6240,7595,29970,3585,2350
      Mexico,    Before 1915,0,0,0,0,0,0
      Mexico,    1916 to 1920,0,0,0,0,0,0
      Mexico,    1921 to 1925,0,0,0,0,0,0
      Mexico,    1926 to 1930,15,0,0,0,0,15
      Mexico,    1931 to 1935,20,0,0,0,0,20
      Mexico,    1936 to 1940,30,0,0,0,0,30
      Mexico,    1941 to 1945,20,0,0,0,10,10
      Mexico,    1946 to 1950,90,0,0,0,40,55
      Mexico,    1951 to 1955,665,0,0,75,325,265
      Mexico,    1956 to 1960,585,0,0,200,130,250
      Mexico,    1961 to 1965,710,0,0,390,165,155
      Mexico,    1966 to 1970,1505,0,0,760,425,310
      Mexico,    1970 to 1975,2050,0,0,1270,540,240
      Mexico,    1976 to 1980,3055,0,0,2300,505,250
      Mexico,    1981 to 1985,2800,0,360,2050,250,145
      Mexico,    1986 to 1990,7330,0,1975,4685,455,210
      Mexico,    1991 to 1995,5945,560,1715,3285,295,95
      Mexico,    1996 to 2000,8470,1415,1530,5150,235,145
      Mexico,    2001 to 2006,16455,4270,2015,9805,215,145
      Mexico,  Non-permanent residents,9140,1945,1955,5065,110,75
      Nicaragua,Total - Immigrant Status and Period of Immigration,9285,165,1565,6275,825,455
      Nicaragua,  Non-immigrants,60,15,10,15,10,10
      Nicaragua,  Immigrants,9085,140,1545,6125,820,445
      Nicaragua,    Before 1915,0,0,0,0,0,0
      Nicaragua,    1916 to 1920,0,0,0,0,0,0
      Nicaragua,    1921 to 1925,0,0,0,0,0,0
      Nicaragua,    1926 to 1930,0,0,0,0,0,0
      Nicaragua,    1931 to 1935,0,0,0,0,0,0
      Nicaragua,    1936 to 1940,0,0,0,0,0,0
      Nicaragua,    1941 to 1945,10,0,0,0,0,10
      Nicaragua,    1946 to 1950,0,0,0,0,0,0
      Nicaragua,    1951 to 1955,10,0,0,0,0,10
      Nicaragua,    1956 to 1960,15,0,0,0,0,10
      Nicaragua,    1961 to 1965,20,0,0,0,0,10
      Nicaragua,    1966 to 1970,10,0,0,0,10,0
      Nicaragua,    1970 to 1975,85,0,0,35,20,25
      Nicaragua,    1976 to 1980,85,0,0,50,30,10
      Nicaragua,    1981 to 1985,600,0,40,460,55,40
      Nicaragua,    1986 to 1990,3970,0,595,2790,390,195
      Nicaragua,    1991 to 1995,3220,45,710,2140,210,120
      Nicaragua,    1996 to 2000,610,35,130,380,50,10
      Nicaragua,    2001 to 2006,455,65,65,265,40,10
      Nicaragua,  Non-permanent residents,150,0,10,130,0,0
      Panama,Total - Immigrant Status and Period of Immigration,2905,60,495,1905,290,155
      Panama,  Non-immigrants,15,15,0,0,0,0
      Panama,  Immigrants,2750,55,445,1825,285,145
      Panama,    Before 1915,0,0,0,0,0,0
      Panama,    1916 to 1920,0,0,0,0,0,0
      Panama,    1921 to 1925,0,0,0,0,0,0
      Panama,    1926 to 1930,0,0,0,0,0,0
      Panama,    1931 to 1935,0,0,0,0,0,0
      Panama,    1936 to 1940,0,0,0,0,0,0
      Panama,    1941 to 1945,0,0,0,0,0,0
      Panama,    1946 to 1950,10,0,0,0,0,10
      Panama,    1951 to 1955,10,0,0,0,10,10
      Panama,    1956 to 1960,15,0,0,0,0,15
      Panama,    1961 to 1965,10,0,0,0,10,10
      Panama,    1966 to 1970,65,0,0,0,25,35
      Panama,    1970 to 1975,70,0,0,20,35,20
      Panama,    1976 to 1980,85,0,0,25,50,0
      Panama,    1981 to 1985,105,0,0,85,0,10
      Panama,    1986 to 1990,675,0,120,505,25,20
      Panama,    1991 to 1995,1070,10,240,730,75,15
      Panama,    1996 to 2000,305,10,40,210,30,15
      Panama,    2001 to 2006,340,35,40,240,20,10
      Panama,  Non-permanent residents,140,0,50,80,0,0
      Belize,Total - Immigrant Status and Period of Immigration,2255,330,375,1325,90,135
      Belize,  Non-immigrants,115,35,15,60,0,10
      Belize,  Immigrants,2080,270,355,1230,90,135
      Belize,    Before 1915,0,0,0,0,0,0
      Belize,    1916 to 1920,0,0,0,0,0,0
      Belize,    1921 to 1925,0,0,0,0,0,0
      Belize,    1926 to 1930,0,0,0,0,0,0
      Belize,    1931 to 1935,0,0,0,0,0,0
      Belize,    1936 to 1940,10,0,0,0,0,10
      Belize,    1941 to 1945,10,0,0,0,0,10
      Belize,    1946 to 1950,15,0,0,0,10,10
      Belize,    1951 to 1955,10,0,0,0,0,10
      Belize,    1956 to 1960,20,0,0,10,0,15
      Belize,    1961 to 1965,15,0,0,10,0,10
      Belize,    1966 to 1970,140,0,0,105,20,15
      Belize,    1970 to 1975,140,0,0,100,25,15
      Belize,    1976 to 1980,245,0,0,210,20,10
      Belize,    1981 to 1985,315,0,20,265,25,0
      Belize,    1986 to 1990,365,0,120,225,0,20
      Belize,    1991 to 1995,175,15,60,85,0,10
      Belize,    1996 to 2000,260,80,95,85,0,0
      Belize,    2001 to 2006,390,170,65,145,0,10
      Belize,  Non-permanent residents,60,25,0,30,0,0
    Caribbean and Bermuda,Total - Immigrant Status and Period of Immigration,328225,12570,30735,182740,57110,45070
    Caribbean and Bermuda,  Non-immigrants,2425,650,465,1125,115,65
    Caribbean and Bermuda,  Immigrants,317180,11060,28580,176175,56600,44770
    Caribbean and Bermuda,    Before 1915,0,0,0,0,0,0
    Caribbean and Bermuda,    1916 to 1920,10,0,0,0,0,10
    Caribbean and Bermuda,    1921 to 1925,15,0,0,0,0,15
    Caribbean and Bermuda,    1926 to 1930,15,0,0,0,0,15
    Caribbean and Bermuda,    1931 to 1935,25,0,0,0,0,25
    Caribbean and Bermuda,    1936 to 1940,95,0,0,0,0,95
    Caribbean and Bermuda,    1941 to 1945,225,0,0,0,40,185
    Caribbean and Bermuda,    1946 to 1950,605,0,0,0,100,505
    Caribbean and Bermuda,    1951 to 1955,1665,0,0,75,325,1260
    Caribbean and Bermuda,    1956 to 1960,3585,0,0,380,565,2640
    Caribbean and Bermuda,    1961 to 1965,7775,0,0,1125,1960,4690
    Caribbean and Bermuda,    1966 to 1970,33140,0,0,8175,13790,11180
    Caribbean and Bermuda,    1970 to 1975,52505,0,0,24350,19405,8750
    Caribbean and Bermuda,    1976 to 1980,35530,0,0,23695,7495,4340
    Caribbean and Bermuda,    1981 to 1985,24215,0,610,17525,3370,2710
    Caribbean and Bermuda,    1986 to 1990,40950,0,4525,29925,3445,3055
    Caribbean and Bermuda,    1991 to 1995,49205,1165,9440,32420,3130,3045
    Caribbean and Bermuda,    1996 to 2000,32740,3400,7455,19130,1525,1230
    Caribbean and Bermuda,    2001 to 2006,34900,6495,6545,19380,1455,1025
    Caribbean and Bermuda,  Non-permanent residents,8620,855,1690,5440,395,235
      Anguilla,Total - Immigrant Status and Period of Immigration,95,0,0,15,50,25
      Anguilla,  Non-immigrants,0,0,0,0,0,0
      Anguilla,  Immigrants,95,0,0,15,50,25
      Anguilla,    Before 1915,0,0,0,0,0,0
      Anguilla,    1916 to 1920,0,0,0,0,0,0
      Anguilla,    1921 to 1925,0,0,0,0,0,0
      Anguilla,    1926 to 1930,0,0,0,0,0,0
      Anguilla,    1931 to 1935,0,0,0,0,0,0
      Anguilla,    1936 to 1940,0,0,0,0,0,0
      Anguilla,    1941 to 1945,0,0,0,0,0,0
      Anguilla,    1946 to 1950,0,0,0,0,0,0
      Anguilla,    1951 to 1955,0,0,0,0,0,0
      Anguilla,    1956 to 1960,10,0,0,0,0,10
      Anguilla,    1961 to 1965,0,0,0,0,0,0
      Anguilla,    1966 to 1970,30,0,0,0,25,10
      Anguilla,    1970 to 1975,30,0,0,0,15,15
      Anguilla,    1976 to 1980,15,0,0,10,10,0
      Anguilla,    1981 to 1985,15,0,0,10,10,0
      Anguilla,    1986 to 1990,0,0,0,0,0,0
      Anguilla,    1991 to 1995,0,0,0,0,0,0
      Anguilla,    1996 to 2000,0,0,0,0,0,0
      Anguilla,    2001 to 2006,0,0,0,0,0,0
      Anguilla,  Non-permanent residents,0,0,0,0,0,0
      Antigua and Barbuda,Total - Immigrant Status and Period of Immigration,2390,35,120,980,660,595
      Antigua and Barbuda,  Non-immigrants,15,0,0,15,0,0
      Antigua and Barbuda,  Immigrants,2340,35,95,960,660,595
      Antigua and Barbuda,    Before 1915,0,0,0,0,0,0
      Antigua and Barbuda,    1916 to 1920,0,0,0,0,0,0
      Antigua and Barbuda,    1921 to 1925,0,0,0,0,0,0
      Antigua and Barbuda,    1926 to 1930,0,0,0,0,0,0
      Antigua and Barbuda,    1931 to 1935,0,0,0,0,0,0
      Antigua and Barbuda,    1936 to 1940,0,0,0,0,0,0
      Antigua and Barbuda,    1941 to 1945,0,0,0,0,0,0
      Antigua and Barbuda,    1946 to 1950,0,0,0,0,0,0
      Antigua and Barbuda,    1951 to 1955,20,0,0,0,0,20
      Antigua and Barbuda,    1956 to 1960,85,0,0,0,30,45
      Antigua and Barbuda,    1961 to 1965,180,0,0,0,35,140
      Antigua and Barbuda,    1966 to 1970,485,0,0,95,240,145
      Antigua and Barbuda,    1970 to 1975,415,0,0,160,170,90
      Antigua and Barbuda,    1976 to 1980,335,0,0,205,85,45
      Antigua and Barbuda,    1981 to 1985,260,0,0,160,65,30
      Antigua and Barbuda,    1986 to 1990,180,0,0,120,20,30
      Antigua and Barbuda,    1991 to 1995,215,0,50,120,10,35
      Antigua and Barbuda,    1996 to 2000,70,0,0,60,0,0
      Antigua and Barbuda,    2001 to 2006,90,25,35,30,0,0
      Antigua and Barbuda,  Non-permanent residents,35,0,25,0,0,0
      Aruba,Total - Immigrant Status and Period of Immigration,625,0,25,215,285,105
      Aruba,  Non-immigrants,35,0,0,30,10,0
      Aruba,  Immigrants,575,0,0,185,280,105
      Aruba,    Before 1915,0,0,0,0,0,0
      Aruba,    1916 to 1920,0,0,0,0,0,0
      Aruba,    1921 to 1925,0,0,0,0,0,0
      Aruba,    1926 to 1930,0,0,0,0,0,0
      Aruba,    1931 to 1935,0,0,0,0,0,0
      Aruba,    1936 to 1940,0,0,0,0,0,0
      Aruba,    1941 to 1945,0,0,0,0,0,0
      Aruba,    1946 to 1950,0,0,0,0,0,0
      Aruba,    1951 to 1955,50,0,0,0,25,20
      Aruba,    1956 to 1960,35,0,0,0,15,20
      Aruba,    1961 to 1965,15,0,0,0,0,10
      Aruba,    1966 to 1970,135,0,0,20,85,30
      Aruba,    1970 to 1975,150,0,0,50,95,10
      Aruba,    1976 to 1980,80,0,0,40,20,15
      Aruba,    1981 to 1985,20,0,0,15,0,0
      Aruba,    1986 to 1990,35,0,0,10,15,0
      Aruba,    1991 to 1995,30,0,0,20,10,0
      Aruba,    1996 to 2000,25,0,0,15,0,0
      Aruba,    2001 to 2006,0,0,0,0,0,0
      Aruba,  Non-permanent residents,20,0,20,0,0,0
      Bahamas,Total - Immigrant Status and Period of Immigration,1260,70,135,795,150,105
      Bahamas,  Non-immigrants,155,25,10,105,15,0
      Bahamas,  Immigrants,955,20,50,640,140,105
      Bahamas,    Before 1915,0,0,0,0,0,0
      Bahamas,    1916 to 1920,0,0,0,0,0,0
      Bahamas,    1921 to 1925,0,0,0,0,0,0
      Bahamas,    1926 to 1930,0,0,0,0,0,0
      Bahamas,    1931 to 1935,0,0,0,0,0,0
      Bahamas,    1936 to 1940,10,0,0,0,0,10
      Bahamas,    1941 to 1945,0,0,0,0,0,0
      Bahamas,    1946 to 1950,15,0,0,0,0,15
      Bahamas,    1951 to 1955,20,0,0,10,0,10
      Bahamas,    1956 to 1960,15,0,0,0,0,10
      Bahamas,    1961 to 1965,45,0,0,10,20,20
      Bahamas,    1966 to 1970,85,0,0,45,35,10
      Bahamas,    1970 to 1975,185,0,0,115,50,20
      Bahamas,    1976 to 1980,145,0,0,120,25,10
      Bahamas,    1981 to 1985,130,0,0,105,20,10
      Bahamas,    1986 to 1990,70,0,0,60,0,0
      Bahamas,    1991 to 1995,110,10,35,75,0,0
      Bahamas,    1996 to 2000,75,10,10,55,0,0
      Bahamas,    2001 to 2006,60,10,0,45,0,0
