,Age groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over,,,
  America,  Immigrants,834260,59985,87005,486940,101270,99060,,,
  America,    Before 1915,755,0,0,0,0,755,,,
  America,    1916 to 1920,985,0,0,0,0,985,,,
  America,    1921 to 1925,1435,0,0,0,0,1435,,,
  America,    1926 to 1930,3700,0,0,0,0,3700,,,
  America,    1931 to 1935,2920,0,0,0,0,2920,,,
  America,    1936 to 1940,2135,0,0,0,320,1820,,,
  America,    1941 to 1945,2205,0,0,0,615,1590,,,
  America,    1946 to 1950,6025,0,0,745,1365,3915,,,
  America,    1951 to 1955,11065,0,0,3120,1910,6040,,,
  America,    1956 to 1960,16180,0,0,6000,3290,6895,,,
  America,    1961 to 1965,26740,0,0,11060,8000,7680,,,
  America,    1966 to 1970,79830,0,0,39825,25610,14390,,,
  America,    1971 to 1975,126095,0,0,85220,26605,14265,,,
  America,    1976 to 1980,90520,0,3170,67715,10915,8725,,,
  America,    1981 to 1985,81280,0,11620,55855,5855,7945,,,
  America,    1986 to 1990,131590,6530,27225,83320,7125,7390,,,
  America,    1991 to 1995,135915,19235,26170,77965,6550,6000,,,
  America,    1996 to 2001,114870,34220,18820,56110,3110,2610,,,
  America,  Non-permanent residents,43170,8850,8260,22995,1395,1675,,,
    North America,Total - Immigrant Status and Period of Immigration,276705,32080,22350,139460,31050,51765,,,
    North America,  Non-immigrants,19975,4590,2995,9520,555,2310,,,
    North America,  Immigrants,236630,22375,16320,120145,29585,48210,,,
    North America,    Before 1915,735,0,0,0,0,735,,,
    North America,    1916 to 1920,965,0,0,0,0,965,,,
    North America,    1921 to 1925,1355,0,0,0,0,1355,,,
    North America,    1926 to 1930,3560,0,0,0,0,3560,,,
    North America,    1931 to 1935,2845,0,0,0,0,2845,,,
    North America,    1936 to 1940,1905,0,0,0,265,1645,,,
    North America,    1941 to 1945,1940,0,0,0,525,1415,,,
    North America,    1946 to 1950,4810,0,0,645,1105,3060,,,
    North America,    1951 to 1955,7020,0,0,2090,1070,3860,,,
    North America,    1956 to 1960,9400,0,0,3745,1495,4165,,,
    North America,    1961 to 1965,14145,0,0,6920,3330,3895,,,
    North America,    1966 to 1970,32610,0,0,17700,8645,6265,,,
    North America,    1971 to 1975,38590,0,0,26355,6570,5660,,,
    North America,    1976 to 1980,23910,0,1125,17435,2565,2785,,,
    North America,    1981 to 1985,19440,0,3670,12570,1265,1945,,,
    North America,    1986 to 1990,22220,2120,5275,11960,1080,1780,,,
    North America,    1991 to 1995,21515,5730,3325,10015,950,1490,,,
    North America,    1996 to 2001,29650,14525,2930,10700,715,785,,,
    North America,  Non-permanent residents,20095,5115,3035,9795,910,1245,,,
      Greenland,Total - Immigrant Status and Period of Immigration,65,0,10,25,15,15,,,
      Greenland,  Non-immigrants,0,0,0,0,0,0,,,
      Greenland,  Immigrants,60,0,10,20,15,15,,,
      Greenland,    Before 1915,0,0,0,0,0,0,,,
      Greenland,    1916 to 1920,0,0,0,0,0,0,,,
      Greenland,    1921 to 1925,0,0,0,0,0,0,,,
      Greenland,    1926 to 1930,0,0,0,0,0,0,,,
      Greenland,    1931 to 1935,0,0,0,0,0,0,,,
      Greenland,    1936 to 1940,0,0,0,0,0,0,,,
      Greenland,    1941 to 1945,0,0,0,0,0,0,,,
      Greenland,    1946 to 1950,0,0,0,0,0,0,,,
      Greenland,    1951 to 1955,0,0,0,0,0,0,,,
      Greenland,    1956 to 1960,10,0,0,0,0,10,,,
      Greenland,    1961 to 1965,10,0,0,0,10,0,,,
      Greenland,    1966 to 1970,0,0,0,0,0,0,,,
      Greenland,    1971 to 1975,10,0,0,0,10,0,,,
      Greenland,    1976 to 1980,0,0,0,0,0,0,,,
      Greenland,    1981 to 1985,10,0,0,10,0,0,,,
      Greenland,    1986 to 1990,10,0,0,10,0,0,,,
      Greenland,    1991 to 1995,0,0,0,0,0,0,,,
      Greenland,    1996 to 2001,10,0,0,10,0,0,,,
      Greenland,  Non-permanent residents,0,0,0,0,0,0,,,
      Saint Pierre and Miquelon,Total - Immigrant Status and Period of Immigration,395,0,10,190,60,125,,,
      Saint Pierre and Miquelon,  Non-immigrants,30,0,10,10,10,10,,,
      Saint Pierre and Miquelon,  Immigrants,365,0,0,185,55,120,,,
      Saint Pierre and Miquelon,    Before 1915,0,0,0,0,0,0,,,
      Saint Pierre and Miquelon,    1916 to 1920,0,0,0,0,0,0,,,
      Saint Pierre and Miquelon,    1921 to 1925,0,0,0,0,0,0,,,
      Saint Pierre and Miquelon,    1926 to 1930,0,0,0,0,0,0,,,
      Saint Pierre and Miquelon,    1931 to 1935,10,0,0,0,0,10,,,
      Saint Pierre and Miquelon,    1936 to 1940,0,0,0,0,0,0,,,
      Saint Pierre and Miquelon,    1941 to 1945,0,0,0,0,0,0,,,
      Saint Pierre and Miquelon,    1946 to 1950,10,0,0,0,0,10,,,
      Saint Pierre and Miquelon,    1951 to 1955,65,0,0,10,10,40,,,
      Saint Pierre and Miquelon,    1956 to 1960,25,0,0,10,10,10,,,
      Saint Pierre and Miquelon,    1961 to 1965,25,0,0,10,10,10,,,
      Saint Pierre and Miquelon,    1966 to 1970,70,0,0,40,10,20,,,
      Saint Pierre and Miquelon,    1971 to 1975,95,0,0,80,10,0,,,
      Saint Pierre and Miquelon,    1976 to 1980,25,0,0,10,10,10,,,
      Saint Pierre and Miquelon,    1981 to 1985,0,0,0,0,0,0,,,
      Saint Pierre and Miquelon,    1986 to 1990,10,0,0,0,0,10,,,
      Saint Pierre and Miquelon,    1991 to 1995,20,0,0,10,0,0,,,
      Saint Pierre and Miquelon,    1996 to 2001,20,0,0,20,0,0,,,
      Saint Pierre and Miquelon,  Non-permanent residents,0,0,0,0,0,0,,,
      United States,Total - Immigrant Status and Period of Immigration,276245,32075,22330,139245,30975,51620,,,
      United States,  Non-immigrants,19945,4590,2990,9520,550,2305,,,
      United States,  Immigrants,236205,22365,16310,119940,29515,48075,,,
      United States,    Before 1915,735,0,0,0,0,735,,,
      United States,    1916 to 1920,965,0,0,0,0,965,,,
      United States,    1921 to 1925,1355,0,0,0,0,1355,,,
      United States,    1926 to 1930,3555,0,0,0,0,3555,,,
      United States,    1931 to 1935,2835,0,0,0,0,2835,,,
      United States,    1936 to 1940,1905,0,0,0,265,1645,,,
      United States,    1941 to 1945,1940,0,0,0,525,1415,,,
      United States,    1946 to 1950,4805,0,0,645,1105,3055,,,
      United States,    1951 to 1955,6945,0,0,2080,1055,3810,,,
      United States,    1956 to 1960,9365,0,0,3735,1490,4145,,,
      United States,    1961 to 1965,14115,0,0,6910,3315,3890,,,
      United States,    1966 to 1970,32545,0,0,17665,8640,6240,,,
      United States,    1971 to 1975,38495,0,0,26275,6555,5655,,,
      United States,    1976 to 1980,23890,0,1125,17435,2555,2780,,,
      United States,    1981 to 1985,19435,0,3670,12560,1265,1945,,,
      United States,    1986 to 1990,22200,2120,5265,11960,1080,1780,,,
      United States,    1991 to 1995,21495,5725,3325,10005,950,1490,,,
      United States,    1996 to 2001,29625,14525,2930,10675,715,785,,,
      United States,  Non-permanent residents,20095,5115,3035,9785,910,1245,,,
    Central America,Total - Immigrant Status and Period of Immigration,116275,12625,24575,68605,6595,3875,,,
    Central America,  Non-immigrants,1995,545,445,900,50,55,,,
    Central America,  Immigrants,107825,11060,22475,64105,6430,3755,,,
    Central America,    Before 1915,0,0,0,0,0,0,,,
    Central America,    1916 to 1920,0,0,0,0,0,0,,,
    Central America,    1921 to 1925,20,0,0,0,0,20,,,
    Central America,    1926 to 1930,55,0,0,0,0,55,,,
    Central America,    1931 to 1935,15,0,0,0,0,15,,,
    Central America,    1936 to 1940,40,0,0,0,10,30,,,
    Central America,    1941 to 1945,10,0,0,0,0,10,,,
    Central America,    1946 to 1950,75,0,0,10,55,15,,,
    Central America,    1951 to 1955,665,0,0,235,235,190,,,
    Central America,    1956 to 1960,715,0,0,275,255,180,,,
    Central America,    1961 to 1965,1020,0,0,585,270,155,,,
    Central America,    1966 to 1970,1635,0,0,935,480,225,,,
    Central America,    1971 to 1975,3720,0,0,2575,850,295,,,
    Central America,    1976 to 1980,4270,0,405,3200,425,245,,,
    Central America,    1981 to 1985,14170,0,3150,9510,895,615,,,
    Central America,    1986 to 1990,33335,1775,8775,20290,1580,920,,,
    Central America,    1991 to 1995,28695,4235,6445,16535,955,525,,,
    Central America,    1996 to 2001,19390,5055,3700,9960,420,255,,,
    Central America,  Non-permanent residents,6445,1015,1660,3595,115,65,,,
      Belize,Total - Immigrant Status and Period of Immigration,1515,140,430,760,80,105,,,
      Belize,  Non-immigrants,120,0,50,70,0,0,,,
      Belize,  Immigrants,1385,140,370,685,80,105,,,
      Belize,    Before 1915,0,0,0,0,0,0,,,
      Belize,    1916 to 1920,0,0,0,0,0,0,,,
      Belize,    1921 to 1925,0,0,0,0,0,0,,,
      Belize,    1926 to 1930,0,0,0,0,0,0,,,
      Belize,    1931 to 1935,0,0,0,0,0,0,,,
      Belize,    1936 to 1940,10,0,0,0,10,0,,,
      Belize,    1941 to 1945,0,0,0,0,0,0,,,
      Belize,    1946 to 1950,10,0,0,0,0,10,,,
      Belize,    1951 to 1955,10,0,0,0,0,10,,,
      Belize,    1956 to 1960,10,0,0,0,0,10,,,
      Belize,    1961 to 1965,25,0,0,10,10,0,,,
      Belize,    1966 to 1970,95,0,0,40,15,35,,,
      Belize,    1971 to 1975,130,0,0,80,35,10,,,
      Belize,    1976 to 1980,170,0,45,115,10,0,,,
      Belize,    1981 to 1985,265,0,120,135,10,10,,,
      Belize,    1986 to 1990,310,20,100,185,0,10,,,
      Belize,    1991 to 1995,90,10,20,45,0,10,,,
      Belize,    1996 to 2001,280,120,85,75,0,0,,,
      Belize,  Non-permanent residents,10,0,10,0,0,0,,,
      Costa Rica,Total - Immigrant Status and Period of Immigration,2585,460,740,1280,75,30,,,
      Costa Rica,  Non-immigrants,95,60,20,10,10,0,,,
      Costa Rica,  Immigrants,2220,345,660,1115,70,30,,,
      Costa Rica,    Before 1915,0,0,0,0,0,0,,,
      Costa Rica,    1916 to 1920,0,0,0,0,0,0,,,
      Costa Rica,    1921 to 1925,0,0,0,0,0,0,,,
      Costa Rica,    1926 to 1930,0,0,0,0,0,0,,,
      Costa Rica,    1931 to 1935,0,0,0,0,0,0,,,
      Costa Rica,    1936 to 1940,0,0,0,0,0,0,,,
      Costa Rica,    1941 to 1945,0,0,0,0,0,0,,,
      Costa Rica,    1946 to 1950,10,0,0,0,10,0,,,
      Costa Rica,    1951 to 1955,0,0,0,0,0,0,,,
      Costa Rica,    1956 to 1960,20,0,0,0,20,0,,,
      Costa Rica,    1961 to 1965,35,0,0,20,10,0,,,
      Costa Rica,    1966 to 1970,25,0,0,15,10,0,,,
      Costa Rica,    1971 to 1975,45,0,0,40,0,0,,,
      Costa Rica,    1976 to 1980,30,0,0,30,0,0,,,
      Costa Rica,    1981 to 1985,275,0,155,105,0,15,,,
      Costa Rica,    1986 to 1990,570,60,275,220,0,10,,,
      Costa Rica,    1991 to 1995,610,185,95,325,10,0,,,
      Costa Rica,    1996 to 2001,605,100,135,355,15,0,,,
      Costa Rica,  Non-permanent residents,270,50,60,155,0,0,,,
      El Salvador,Total - Immigrant Status and Period of Immigration,39215,2325,8655,24745,2085,1405,,,
      El Salvador,  Non-immigrants,80,10,20,40,0,10,,,
      El Salvador,  Immigrants,38405,2210,8460,24290,2075,1370,,,
      El Salvador,    Before 1915,0,0,0,0,0,0,,,
      El Salvador,    1916 to 1920,0,0,0,0,0,0,,,
      El Salvador,    1921 to 1925,0,0,0,0,0,0,,,
      El Salvador,    1926 to 1930,0,0,0,0,0,0,,,
      El Salvador,    1931 to 1935,0,0,0,0,0,0,,,
      El Salvador,    1936 to 1940,0,0,0,0,0,0,,,
      El Salvador,    1941 to 1945,0,0,0,0,0,0,,,
      El Salvador,    1946 to 1950,0,0,0,0,0,0,,,
      El Salvador,    1951 to 1955,0,0,0,0,0,0,,,
      El Salvador,    1956 to 1960,15,0,0,0,10,0,,,
      El Salvador,    1961 to 1965,10,0,0,0,0,0,,,
      El Salvador,    1966 to 1970,55,0,0,35,0,10,,,
      El Salvador,    1971 to 1975,510,0,0,355,125,35,,,
      El Salvador,    1976 to 1980,625,0,35,480,60,50,,,
      El Salvador,    1981 to 1985,7555,0,1425,5260,530,345,,,
      El Salvador,    1986 to 1990,16205,650,3820,10395,795,540,,,
      El Salvador,    1991 to 1995,10665,1065,2440,6425,430,305,,,
      El Salvador,    1996 to 2001,2770,495,750,1330,110,85,,,
      El Salvador,  Non-permanent residents,730,110,175,420,10,20,,,
      Guatemala,Total - Immigrant Status and Period of Immigration,14215,1790,3295,8005,735,390,,,
      Guatemala,  Non-immigrants,150,45,65,40,0,0,,,
      Guatemala,  Immigrants,13660,1680,3115,7765,720,380,,,
      Guatemala,    Before 1915,0,0,0,0,0,0,,,
      Guatemala,    1916 to 1920,0,0,0,0,0,0,,,
      Guatemala,    1921 to 1925,0,0,0,0,0,0,,,
      Guatemala,    1926 to 1930,0,0,0,0,0,0,,,
      Guatemala,    1931 to 1935,0,0,0,0,0,0,,,
      Guatemala,    1936 to 1940,0,0,0,0,0,0,,,
      Guatemala,    1941 to 1945,0,0,0,0,0,0,,,
      Guatemala,    1946 to 1950,0,0,0,0,0,0,,,
      Guatemala,    1951 to 1955,30,0,0,0,0,20,,,
      Guatemala,    1956 to 1960,10,0,0,0,0,10,,,
      Guatemala,    1961 to 1965,15,0,0,10,0,10,,,
      Guatemala,    1966 to 1970,105,0,0,60,35,10,,,
      Guatemala,    1971 to 1975,495,0,0,340,115,40,,,
      Guatemala,    1976 to 1980,435,0,35,325,35,35,,,
      Guatemala,    1981 to 1985,1995,0,495,1265,165,75,,,
      Guatemala,    1986 to 1990,4215,230,1125,2575,180,110,,,
      Guatemala,    1991 to 1995,4360,740,1045,2400,125,50,,,
      Guatemala,    1996 to 2001,1990,710,410,800,60,20,,,
      Guatemala,  Non-permanent residents,410,65,120,200,15,10,,,
      Honduras,Total - Immigrant Status and Period of Immigration,4550,565,1200,2540,205,45,,,
      Honduras,  Non-immigrants,65,15,35,15,0,0,,,
      Honduras,  Immigrants,4325,535,1115,2425,205,45,,,
      Honduras,    Before 1915,0,0,0,0,0,0,,,
      Honduras,    1916 to 1920,0,0,0,0,0,0,,,
      Honduras,    1921 to 1925,0,0,0,0,0,0,,,
      Honduras,    1926 to 1930,0,0,0,0,0,0,,,
      Honduras,    1931 to 1935,0,0,0,0,0,0,,,
      Honduras,    1936 to 1940,0,0,0,0,0,0,,,
      Honduras,    1941 to 1945,0,0,0,0,0,0,,,
      Honduras,    1946 to 1950,0,0,0,0,0,0,,,
      Honduras,    1951 to 1955,0,0,0,0,0,0,,,
      Honduras,    1956 to 1960,0,0,0,0,0,0,,,
      Honduras,    1961 to 1965,0,0,0,0,0,0,,,
      Honduras,    1966 to 1970,45,0,0,30,20,0,,,
      Honduras,    1971 to 1975,130,0,0,100,20,10,,,
      Honduras,    1976 to 1980,230,0,75,125,30,0,,,
      Honduras,    1981 to 1985,280,0,40,205,15,15,,,
      Honduras,    1986 to 1990,910,80,245,530,55,0,,,
      Honduras,    1991 to 1995,1685,220,460,920,70,15,,,
      Honduras,    1996 to 2001,1045,240,285,510,0,10,,,
      Honduras,  Non-permanent residents,160,15,50,100,0,0,,,
      Mexico,Total - Immigrant Status and Period of Immigration,42100,6640,7285,23950,2715,1515,,,
      Mexico,  Non-immigrants,1435,395,240,705,50,35,,,
      Mexico,  Immigrants,36070,5495,5875,20655,2595,1450,,,
      Mexico,    Before 1915,0,0,0,0,0,0,,,
      Mexico,    1916 to 1920,0,0,0,0,0,0,,,
      Mexico,    1921 to 1925,20,0,0,0,0,20,,,
      Mexico,    1926 to 1930,50,0,0,0,0,50,,,
      Mexico,    1931 to 1935,15,0,0,0,0,15,,,
      Mexico,    1936 to 1940,30,0,0,0,10,25,,,
      Mexico,    1941 to 1945,10,0,0,0,0,10,,,
      Mexico,    1946 to 1950,55,0,0,10,45,0,,,
      Mexico,    1951 to 1955,610,0,0,235,225,155,,,
      Mexico,    1956 to 1960,655,0,0,275,225,155,,,
      Mexico,    1961 to 1965,910,0,0,535,245,125,,,
      Mexico,    1966 to 1970,1225,0,0,690,380,155,,,
      Mexico,    1971 to 1975,2220,0,0,1555,490,180,,,
      Mexico,    1976 to 1980,2630,0,210,2020,265,140,,,
      Mexico,    1981 to 1985,3120,0,815,2070,145,95,,,
      Mexico,    1986 to 1990,6485,610,1895,3565,250,160,,,
      Mexico,    1991 to 1995,6615,1680,1245,3485,145,55,,,
      Mexico,    1996 to 2001,11430,3200,1710,6225,180,110,,,
      Mexico,  Non-permanent residents,4600,750,1165,2590,70,30,,,
      Nicaragua,Total - Immigrant Status and Period of Immigration,9535,485,2510,5730,580,225,,,
      Nicaragua,  Non-immigrants,15,10,0,10,0,0,,,
      Nicaragua,  Immigrants,9365,475,2465,5630,570,225,,,
      Nicaragua,    Before 1915,0,0,0,0,0,0,,,
      Nicaragua,    1916 to 1920,0,0,0,0,0,0,,,
      Nicaragua,    1921 to 1925,0,0,0,0,0,0,,,
      Nicaragua,    1926 to 1930,0,0,0,0,0,0,,,
      Nicaragua,    1931 to 1935,0,0,0,0,0,0,,,
      Nicaragua,    1936 to 1940,0,0,0,0,0,0,,,
      Nicaragua,    1941 to 1945,0,0,0,0,0,0,,,
      Nicaragua,    1946 to 1950,0,0,0,0,0,0,,,
      Nicaragua,    1951 to 1955,0,0,0,0,0,0,,,
      Nicaragua,    1956 to 1960,0,0,0,0,0,0,,,
      Nicaragua,    1961 to 1965,10,0,0,0,0,0,,,
      Nicaragua,    1966 to 1970,35,0,0,30,10,0,,,
      Nicaragua,    1971 to 1975,70,0,0,45,20,0,,,
      Nicaragua,    1976 to 1980,60,0,0,45,10,0,,,
      Nicaragua,    1981 to 1985,580,0,100,405,25,50,,,
      Nicaragua,    1986 to 1990,4105,95,1210,2435,290,75,,,
      Nicaragua,    1991 to 1995,3555,240,960,2110,165,80,,,
      Nicaragua,    1996 to 2001,955,145,200,550,45,15,,,
      Nicaragua,  Non-permanent residents,150,0,45,90,15,0,,,
      Panama,Total - Immigrant Status and Period of Immigration,2550,220,455,1605,120,155,,,
      Panama,  Non-immigrants,35,10,0,15,0,10,,,
      Panama,  Immigrants,2395,180,410,1545,115,145,,,
      Panama,    Before 1915,0,0,0,0,0,0,,,
      Panama,    1916 to 1920,0,0,0,0,0,0,,,
      Panama,    1921 to 1925,0,0,0,0,0,0,,,
      Panama,    1926 to 1930,0,0,0,0,0,0,,,
      Panama,    1931 to 1935,0,0,0,0,0,0,,,
      Panama,    1936 to 1940,0,0,0,0,0,0,,,
      Panama,    1941 to 1945,0,0,0,0,0,0,,,
      Panama,    1946 to 1950,0,0,0,0,0,0,,,
      Panama,    1951 to 1955,15,0,0,0,0,10,,,
      Panama,    1956 to 1960,10,0,0,0,0,10,,,
      Panama,    1961 to 1965,10,0,0,0,0,0,,,
      Panama,    1966 to 1970,50,0,0,35,10,10,,,
      Panama,    1971 to 1975,115,0,0,55,40,15,,,
      Panama,    1976 to 1980,105,0,0,65,15,25,,,
      Panama,    1981 to 1985,100,0,10,65,10,15,,,
      Panama,    1986 to 1990,540,30,100,385,10,20,,,
      Panama,    1991 to 1995,1125,105,175,825,0,20,,,
      Panama,    1996 to 2001,325,45,130,120,15,15,,,
      Panama,  Non-permanent residents,120,25,40,45,0,10,,,
    Caribbean and Bermuda,Total - Immigrant Status and Period of Immigration,302125,16055,30625,180430,44360,30650,,,
    Caribbean and Bermuda,  Non-immigrants,2150,545,545,905,90,65,,,
    Caribbean and Bermuda,  Immigrants,293570,14710,28625,175720,44125,30390,,,
    Caribbean and Bermuda,    Before 1915,10,0,0,0,0,10,,,
    Caribbean and Bermuda,    1916 to 1920,15,0,0,0,0,15,,,
    Caribbean and Bermuda,    1921 to 1925,45,0,0,0,0,45,,,
    Caribbean and Bermuda,    1926 to 1930,50,0,0,0,0,50,,,
    Caribbean and Bermuda,    1931 to 1935,25,0,0,0,0,25,,,
    Caribbean and Bermuda,    1936 to 1940,100,0,0,0,20,80,,,
    Caribbean and Bermuda,    1941 to 1945,180,0,0,0,50,130,,,
    Caribbean and Bermuda,    1946 to 1950,745,0,0,35,115,595,,,
    Caribbean and Bermuda,    1951 to 1955,2070,0,0,305,395,1365,,,
    Caribbean and Bermuda,    1956 to 1960,3760,0,0,720,1150,1890,,,
    Caribbean and Bermuda,    1961 to 1965,7895,0,0,1735,3360,2800,,,
    Caribbean and Bermuda,    1966 to 1970,34785,0,0,14990,13430,6360,,,
    Caribbean and Bermuda,    1971 to 1975,54640,0,0,35805,13140,5690,,,
    Caribbean and Bermuda,    1976 to 1980,36670,0,825,27755,4745,3340,,,
    Caribbean and Bermuda,    1981 to 1985,25795,0,2535,18515,2060,2690,,,
    Caribbean and Bermuda,    1986 to 1990,42940,1375,7750,29050,2400,2365,,,
    Caribbean and Bermuda,    1991 to 1995,49465,5745,10340,29030,2290,2065,,,
    Caribbean and Bermuda,    1996 to 2001,34405,7590,7175,17785,975,880,,,
    Caribbean and Bermuda,  Non-permanent residents,6405,800,1460,3810,145,190,,,
      Anguilla,Total - Immigrant Status and Period of Immigration,145,0,0,80,40,25,,,
      Anguilla,  Non-immigrants,0,0,0,0,0,0,,,
      Anguilla,  Immigrants,135,0,0,70,40,25,,,
      Anguilla,    Before 1915,0,0,0,0,0,0,,,
      Anguilla,    1916 to 1920,0,0,0,0,0,0,,,
      Anguilla,    1921 to 1925,0,0,0,0,0,0,,,
      Anguilla,    1926 to 1930,0,0,0,0,0,0,,,
      Anguilla,    1931 to 1935,0,0,0,0,0,0,,,
      Anguilla,    1936 to 1940,0,0,0,0,0,0,,,
      Anguilla,    1941 to 1945,0,0,0,0,0,0,,,
      Anguilla,    1946 to 1950,0,0,0,0,0,0,,,
      Anguilla,    1951 to 1955,0,0,0,0,0,0,,,
      Anguilla,    1956 to 1960,10,0,0,10,0,0,,,
      Anguilla,    1961 to 1965,0,0,0,0,0,0,,,
      Anguilla,    1966 to 1970,40,0,0,0,35,0,,,
      Anguilla,    1971 to 1975,15,0,0,0,10,0,,,
      Anguilla,    1976 to 1980,25,0,0,15,0,10,,,
      Anguilla,    1981 to 1985,10,0,0,10,0,0,,,
      Anguilla,    1986 to 1990,15,0,0,15,10,0,,,
      Anguilla,    1991 to 1995,10,0,0,0,0,10,,,
      Anguilla,    1996 to 2001,10,0,0,10,0,0,,,
      Anguilla,  Non-permanent residents,10,0,0,10,0,0,,,
      Antigua and Barbuda,Total - Immigrant Status and Period of Immigration,2335,80,140,1295,530,290,,,
      Antigua and Barbuda,  Non-immigrants,15,10,0,0,0,0,,,
      Antigua and Barbuda,  Immigrants,2190,35,105,1240,530,285,,,
      Antigua and Barbuda,    Before 1915,0,0,0,0,0,0,,,
      Antigua and Barbuda,    1916 to 1920,0,0,0,0,0,0,,,
      Antigua and Barbuda,    1921 to 1925,0,0,0,0,0,0,,,
      Antigua and Barbuda,    1926 to 1930,0,0,0,0,0,0,,,
      Antigua and Barbuda,    1931 to 1935,0,0,0,0,0,0,,,
      Antigua and Barbuda,    1936 to 1940,10,0,0,0,0,10,,,
      Antigua and Barbuda,    1941 to 1945,0,0,0,0,0,0,,,
      Antigua and Barbuda,    1946 to 1950,0,0,0,0,0,0,,,
      Antigua and Barbuda,    1951 to 1955,10,0,0,0,0,10,,,
      Antigua and Barbuda,    1956 to 1960,65,0,0,0,10,50,,,
      Antigua and Barbuda,    1961 to 1965,155,0,0,25,90,40,,,
      Antigua and Barbuda,    1966 to 1970,380,0,0,155,170,50,,,
      Antigua and Barbuda,    1971 to 1975,435,0,0,280,115,40,,,
      Antigua and Barbuda,    1976 to 1980,360,0,10,230,85,40,,,
      Antigua and Barbuda,    1981 to 1985,310,0,20,225,35,30,,,
      Antigua and Barbuda,    1986 to 1990,200,0,45,135,15,10,,,
      Antigua and Barbuda,    1991 to 1995,130,0,25,90,10,0,,,
      Antigua and Barbuda,    1996 to 2001,145,30,15,85,0,10,,,
      Antigua and Barbuda,  Non-permanent residents,130,35,35,55,0,0,,,
      Aruba,Total - Immigrant Status and Period of Immigration,645,10,15,455,125,40,,,
      Aruba,  Non-immigrants,45,0,10,35,0,0,,,
      Aruba,  Immigrants,580,0,10,400,125,40,,,
      Aruba,    Before 1915,0,0,0,0,0,0,,,
      Aruba,    1916 to 1920,0,0,0,0,0,0,,,
      Aruba,    1921 to 1925,0,0,0,0,0,0,,,
      Aruba,    1926 to 1930,0,0,0,0,0,0,,,
      Aruba,    1931 to 1935,0,0,0,0,0,0,,,
      Aruba,    1936 to 1940,0,0,0,0,0,0,,,
      Aruba,    1941 to 1945,0,0,0,0,0,0,,,
      Aruba,    1946 to 1950,0,0,0,0,0,0,,,
      Aruba,    1951 to 1955,20,0,0,10,15,0,,,
      Aruba,    1956 to 1960,80,0,0,50,0,15,,,
      Aruba,    1961 to 1965,40,0,0,10,10,25,,,
      Aruba,    1966 to 1970,140,0,0,70,65,10,,,
      Aruba,    1971 to 1975,140,0,0,135,10,0,,,
      Aruba,    1976 to 1980,60,0,0,40,20,0,,,
      Aruba,    1981 to 1985,35,0,0,20,0,0,,,
      Aruba,    1986 to 1990,35,0,0,30,0,0,,,
      Aruba,    1991 to 1995,15,0,0,15,0,0,,,
      Aruba,    1996 to 2001,15,0,0,15,0,0,,,
      Aruba,  Non-permanent residents,20,10,0,10,0,0,,,
