"Citizenship (5), Place of Birth (272), Immigrant Status and Period of Immigration (11), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data",,,,,,
Geography = Canada [1],,,,,,
Global non-response rate (GNR) =   5.1 %,,,,,,
Immigrant status and period of immigration (11) = Total - Immigrant status and period of immigration [2],,,,,,
Age (12) =   0 to 14 years,,,,,,
Sex (3) = Total - Sex,,,,,,
Place of birth (272),Total - Citizenship [3],  Canadian citizens [4],    Canadian citizens only,    Citizens of Canada and at least one other country,  Not Canadian citizens [5], 
      Western Europe,19125,7910,4490,3420,11215,
        Austria,285,220,140,80,70,
        Belgium,1070,460,250,210,615,
        France,10030,4040,1960,2085,5995,
        Germany,5085,1735,1195,540,3350,
        Liechtenstein,0,0,0,0,0,
        Luxembourg,90,35,35,0,50,
        Monaco,20,0,0,0,20,
        Netherlands,1335,600,425,175,740,
        Switzerland,1195,820,490,325,380,
      Eastern Europe,19535,9460,4930,4530,10075,
        Belarus,585,310,140,170,275,
        Bulgaria,1090,650,225,425,445,
        Czech Republic,380,190,105,85,185,
        Estonia,60,35,15,20,25,
        Hungary,1085,215,95,115,880,
        Latvia,190,60,30,30,135,
        Lithuania,185,80,70,15,105,
        Moldova [10],2535,1115,445,665,1420,
        Poland,1025,490,195,295,535,
        Romania,3215,1945,650,1290,1265,
        Russian Federation,4410,2475,1465,1010,1940,
        Slovakia,520,85,30,55,430,
        Ukraine,4260,1815,1460,350,2445,
      Northern Europe,20140,9135,5205,3930,11010,
        Åland Islands,0,0,0,0,0,
        Denmark,355,170,130,40,190,
        Faroe Islands,0,0,0,0,0,
        Finland,270,145,90,55,130,
        Guernsey,10,0,0,0,0,
        Iceland,105,25,25,0,85,
        Ireland [11],2380,545,270,265,1835,
        Isle of Man,20,0,0,0,15,
        Jersey,50,10,0,0,35,
        Norway,350,170,115,50,180,
        Sark,0,0,0,0,0,
        Svalbard and Jan Mayen,0,0,0,0,0,
        Sweden,535,355,175,180,175,
        United Kingdom [12],16070,7705,4390,3320,8365,
      Southern Europe,9310,3840,2245,1600,5465,
        Albania,535,320,155,170,215,
        Andorra,0,0,0,0,0,
        Bosnia and Herzegovina,345,145,115,25,200,
        Croatia,510,80,40,35,430,
        Gibraltar,10,0,0,0,10,
        Greece,1565,835,510,330,730,
        Holy See (Vatican City State),0,0,0,0,0,
        Italy,2070,830,520,300,1245,
        Kosovo [13],275,95,65,40,180,
"        Macedonia, Republic of [14]",230,155,75,80,75,
        Malta,75,65,30,35,10,
        Montenegro,20,10,0,10,10,
        Portugal,1520,560,340,215,965,
        San Marino,0,0,0,0,0,
        Serbia [15],885,395,200,195,495,
        Slovenia,70,25,10,20,40,
        Spain,1200,335,180,155,865,
    Africa,64865,26085,16555,9530,38780,
      Western Africa,13765,4815,2990,1825,8950,
        Benin,455,140,70,70,315,
        Burkina Faso,390,95,45,45,295,
        Cabo Verde,0,0,0,0,0,
        Côte d'Ivoire,2380,595,465,125,1790,
        Gambia,105,35,25,10,65,
        Ghana,1025,510,450,60,510,
        Guinea,425,205,145,60,215,
        Guinea-Bissau,0,0,0,0,0,
        Liberia,165,95,95,0,75,
        Mali,295,170,105,65,125,
        Mauritania,100,25,10,15,75,
        Niger,140,75,55,20,65,
        Nigeria,6970,2325,1220,1105,4640,
        Saint Helena [16],0,0,0,0,0,
        Senegal,820,350,195,150,470,
        Sierra Leone,95,50,40,10,40,
        Togo,395,145,65,80,250,
      Eastern Africa,15075,6010,4935,1075,9065,
        Burundi,900,355,230,125,545,
        Comoros,0,0,0,0,0,
        Djibouti,455,125,100,25,335,
        Eritrea,1610,380,325,55,1225,
        Ethiopia,2870,1615,1555,65,1255,
        Kenya,2565,1065,920,145,1500,
        Madagascar,275,120,60,65,150,
        Malawi,80,50,45,10,30,
        Mauritius,1410,600,310,295,805,
        Mayotte,0,0,0,0,0,
        Mozambique,100,55,55,0,40,
        Réunion,25,10,0,0,10,
        Rwanda,580,210,140,70,375,
        Seychelles,15,10,0,15,10,
        Somalia,1455,390,285,110,1065,
        South Sudan,230,120,110,15,105,
        Tanzania [17],935,245,220,25,690,
        Uganda,990,365,320,40,630,
        Zambia,205,130,105,20,70,
        Zimbabwe,385,165,155,10,220,
      Northern Africa,26055,12200,6020,6180,13855,
        Algeria,7845,4000,1865,2135,3845,
        Egypt,7745,3215,1485,1730,4530,
        Libya,1625,385,220,165,1245,
        Morocco,5600,3345,1735,1610,2255,
        Sudan [18],1345,450,370,80,895,
        Tunisia,1895,805,350,455,1090,
        Western Sahara,0,0,0,0,0,
      Central Africa,6585,1835,1675,165,4755,
        Angola,80,20,15,0,60,
        Cameroon,3775,995,930,60,2785,
        Central African Republic,215,25,25,0,185,
        Chad,305,85,40,45,225,
"        Congo, Democratic Republic of the",1935,590,555,35,1350,
"        Congo, Republic of the",140,50,40,0,95,
        Equatorial Guinea,0,0,0,0,0,
        Gabon,135,80,60,20,55,
        Sao Tome and Principe,0,0,0,0,0,
      Southern Africa,3380,1230,945,285,2150,
        Botswana,240,65,65,10,175,
        Lesotho,40,40,30,15,0,
        Namibia,160,30,25,10,130,
"        South Africa, Republic of",2915,1085,825,260,1825,
        Swaziland,30,10,0,10,20,
    Asia,246025,95470,76390,19080,150550,
      West Central Asia and the Middle East,66200,22840,14385,8455,43360,
        Afghanistan,1900,560,455,105,1345,
        Armenia,520,275,180,90,245,
        Azerbaijan,150,65,45,15,90,
        Bahrain,400,210,170,35,190,
        Cyprus,120,65,35,30,55,
        Georgia,195,130,115,10,65,
        Iran [19],7285,2475,1290,1185,4810,
        Iraq,5630,1880,1215,660,3755,
        Israel,6685,2975,1200,1775,3705,
        Jordan,2975,970,565,410,2000,
        Kazakhstan,1110,560,480,80,550,
        Kuwait,1880,850,690,155,1035,
        Kyrgyzstan,470,235,190,40,235,
        Lebanon,4855,2470,1380,1095,2385,
        Oman,455,180,140,50,270,
        Qatar,1130,555,405,150,575,
        Saudi Arabia,5820,1835,1260,575,3985,
        Syria [20],13290,1510,925,595,11780,
        Tajikistan,240,150,120,30,95,
        Turkey,1525,605,335,275,920,
        Turkmenistan,30,15,0,10,15,
        United Arab Emirates,8090,3600,2750,855,4495,
        Uzbekistan,540,220,150,70,320,
        West Bank and Gaza Strip (Palestine) [21],430,245,155,90,190,
        Yemen,455,205,140,55,250,
      Eastern Asia,57480,26510,23515,3000,30970,
        China [22],36170,16570,16010,565,19600,
        Hong Kong [23],4235,2790,2195,595,1450,
        Japan,2965,1690,995,695,1275,
"        Korea, North [24]",40,10,10,0,30,
"        Korea, South [25]",11510,3655,3210,450,7850,
        Macao [26],75,50,30,20,20,
        Mongolia,195,65,45,20,130,
        Taiwan,2295,1675,1025,655,620,
      Southeast Asia,56925,19070,17305,1765,37855,
        Brunei Darussalam,125,65,50,15,60,
        Burma (Myanmar),195,70,65,10,125,
        Cambodia,370,240,215,25,135,
        Indonesia,650,285,240,45,365,
        Laos [27],100,75,75,0,25,
        Malaysia,1185,550,445,100,630,
        Philippines,46550,13435,12640,795,33115,
        Singapore,1300,705,550,155,595,
        Thailand,1945,1085,840,245,865,
        Timor-Leste,0,10,10,0,0,
        Viet Nam,4500,2550,2180,370,1950,
      Southern Asia,65420,27055,21185,5865,38365,
        Bangladesh,4880,2325,1475,850,2555,
        Bhutan,65,15,0,10,45,
        British Indian Ocean Territory,0,0,0,0,0,
        India,34455,12825,12275,550,21630,
        Maldives,10,10,0,0,0,
        Nepal,2835,695,670,25,2135,
        Pakistan,19710,9455,5100,4350,10255,
        Sri Lanka,3465,1730,1650,75,1740,
    Oceania,4685,2830,1410,1420,1855,
      American Samoa,0,0,0,0,0,
      Australia,3305,1970,940,1025,1340,
      Christmas Island,0,0,0,0,0,
      Cocos (Keeling) Islands,0,0,0,0,0,
      Cook Islands,0,0,0,0,0,
      Fiji,235,100,95,0,135,
      French Polynesia,20,0,0,0,20,
      Guam,10,10,0,0,0,
      Kiribati,0,0,0,0,0,
      Marshall Islands,10,0,0,0,10,
"      Micronesia, Federated States of",10,0,0,0,0,
      Nauru,0,0,0,0,0,
      New Caledonia,65,45,35,10,20,
      New Zealand,950,650,295,355,300,
      Niue,0,0,0,0,0,
      Norfolk Island,0,0,0,0,0,
      Northern Mariana Islands,30,25,15,10,10,
      Palau,10,10,0,0,0,
      Papua New Guinea,20,10,10,0,15,
      Pitcairn,0,0,0,0,0,
      Samoa,15,10,0,10,10,
      Solomon Islands,10,10,10,0,0,
      Tokelau,0,0,0,0,0,
      Tonga,10,0,0,0,0,
      Tuvalu,0,0,0,0,0,
      United States Minor Outlying Islands,0,0,0,0,0,
      Vanuatu,0,0,0,0,0,
      Wallis and Futuna,0,0,0,0,0,
    Other places of birth [28],10,0,0,0,10,
Note,,,,,,
[1] Excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,,,,,
"[2] Immigrant status refers to whether the person is a non-immigrant, an immigrant or a non-permanent resident.    Period of immigration refers to the period in which the immigrant first obtained landed immigrant or permanent resident status.   For more information on immigration variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Place of Birth, Generation Status, Citizenship and Immigration Reference Guide, Census of Population, 2016.",,,,,,
"[3] For more information on citizenship variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Place of Birth, Generation Status, Citizenship and Immigration Reference Guide, Census of Population, 2016.",,,,,,
[4] 'Canadian citizens' includes persons who are citizens of Canada only and persons who are citizens of Canada and at least one other country.,,,,,,
[5] 'Not Canadian citizens' includes persons who are not citizens of Canada. They may be citizens of one or more other countries. Persons who are stateless are included in this category.,,,,,,
"[6] For more information on the place of birth variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Place of Birth, Generation Status, Citizenship and Immigration Reference Guide, Census of Population, 2016.",,,,,,
[7] The official name of United States is United States of America.,,,,,,
[8] The official name of Bolivia is Plurinational State of Bolivia.,,,,,,
[9] The official name of Venezuela is Bolivarian Republic of Venezuela.,,,,,,
[10] The official name of Moldova is Republic of Moldova.,,,,,,
[11] Ireland is also referred to as Republic of Ireland.,,,,,,
"[12] The official name of United Kingdom is United Kingdom of Great Britain and Northern Ireland. United Kingdom includes Scotland, Wales, England and Northern Ireland (excludes Isle of Man, the Channel Islands and British Overseas Territories).",,,,,,
[13] The official name of Kosovo is Republic of Kosovo.,,,,,,
"[14] Macedonia, Republic of: known as the former Yugoslav Republic of Macedonia by the United Nations and other international bodies.",,,,,,
[15] Serbia excludes Kosovo.,,,,,,
"[16] The official name of Saint Helena is Saint Helena, Ascension and Tristan da Cunha.",,,,,,
[17] The official name of Tanzania is United Republic of Tanzania.,,,,,,
[18] The full name of Sudan is the Republic of the Sudan.,,,,,,
[19] The official name of Iran is Islamic Republic of Iran.,,,,,,
[20] The official name of Syria is Syrian Arab Republic.,,,,,,
"[21] West Bank and Gaza Strip (Palestine): West Bank and Gaza Strip are the territories referred to in the Declaration of Principles, signed by Israel and the Palestine Liberation Organization in 1993. Palestine refers to pre-1948 British mandate Palestine.",,,,,,
[22] China excludes Hong Kong and Macao.,,,,,,
[23] The full name of Hong Kong is the Hong Kong Special Administrative Region of China.,,,,,,
[24] The official name of North Korea is Democratic People's Republic of Korea.,,,,,,
[25] The official name of South Korea is Republic of Korea.,,,,,,
[26] The full name of Macao is Macao Special Administrative Region of China.,,,,,,
[27] The official name of Laos is Lao People's Democratic Republic.,,,,,,
"[28] Includes other places of birth not included elsewhere, such as 'born at sea'.",,,,,,
Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016184.,,,,,,
